Country Name,Country Code,Continent,Pop. 2020
Afghanistan,AFG,Asia,38928341
Angola,AGO,Africa,32866268
Albania,ALB,Europe,2837849
Andorra,AND,Europe,77265
United Arab Emirates,ARE,Asia,9890400
Argentina,ARG,Americas,45376763
Armenia,ARM,Asia,2963234
American Samoa,ASM,Oceania,55197
Antigua and Barbuda,ATG,Americas,97928
Australia,AUS,Oceania,25693267
Austria,AUT,Europe,8916864
Azerbaijan,AZE,Asia,10093121
Burundi,BDI,Africa,11890781
Belgium,BEL,Europe,11544241
Benin,BEN,Africa,12123198
Burkina Faso,BFA,Africa,20903278
Bangladesh,BGD,Asia,164689383
Bulgaria,BGR,Europe,6934015
Bahrain,BHR,Asia,1701583
Bosnia and Herzegovina,BIH,Europe,3280815
Belarus,BLR,Europe,9379952
Belize,BLZ,Americas,397621
Bermuda,BMU,Americas,63893
Bolivia,BOL,Americas,11673029
Brazil,BRA,Americas,212559409
Barbados,BRB,Americas,287371
Brunei Darussalam,BRN,Asia,437483
Bhutan,BTN,Asia,771612
Botswana,BWA,Africa,2351625
Central African Republic,CAF,Africa,4829764
Canada,CAN,Americas,38037204
Switzerland,CHE,Europe,8636561
Chile,CHL,Americas,19116209
China,CHN,Asia,1411100000
Ivory Coast,CIV,Africa,26378275
Cameroon,CMR,Africa,26545864
"Congo, Dem. Rep.",COD,Africa,89561404
Republic of the Congo,COG,Africa,5518092
Colombia,COL,Americas,50882884
Comoros,COM,Africa,869595
Costa Rica,CRI,Americas,5094114
Cuba,CUB,Americas,11326616
Cyprus,CYP,Europe,1207361
Czechia,CZE,Europe,10697858
Germany,DEU,Europe,83160871
Djibouti,DJI,Africa,988002
Dominica,DMA,Americas,71991
Denmark,DNK,Europe,5831404
Dominican Republic,DOM,Americas,10847904
Algeria,DZA,Africa,43851043
Ecuador,ECU,Americas,17643060
Egypt,EGY,Africa,102334403
Eritrea,ERI,Africa,NA
Spain,ESP,Europe,47363419
Estonia,EST,Europe,1329479
Ethiopia,ETH,Africa,114963583
Finland,FIN,Europe,5529543
Fiji,FJI,Oceania,896444
France,FRA,Europe,67379908
Gabon,GAB,Africa,2225728
United Kingdom,GBR,Europe,67081000
Georgia,GEO,Europe,3722716
